TOPc8e46a00	START
TOP95b1c5dc	workload_profile	2
TOP95b1c5dc	limit	0
TOP95b1c5dc	skip	0
TOP95b1c5dc	separator	:
TOP95b1c5dc	opencl_platforms	2
TOP95b1c5dc	opencl_device_types	2
TOP95b1c5dc	opencl_vector_width	0
TOP95b1c5dc	rule_buf_l	:
TOP95b1c5dc	rule_buf_r	:
TOP95b1c5dc	session	hashcat
TOP95b1c5dc	veracrypt_pim	0
TOP95b1c5dc	hashlist_mode	5
TOP95b1c5dc	hashlist_format	0
TOPc3f05f39	START
TOPc3f05f39	attack_mode	0
TOPc3f05f39	attack_kern	0
TOPc3f05f39	benchmark	1
TOPc3f05f39	stdout_flag	0
TOPc3f05f39	bitmap_min	16
TOPc3f05f39	bitmap_max	24
TOPc3f05f39	debug_mode	0
TOPc3f05f39	force	1
TOPc3f05f39	kernel_accel	0
TOPc3f05f39	kernel_loops	0
TOPc3f05f39	nvidia_spin_damp	100
TOPc3f05f39	gpu_temp_disable	0
TOPc3f05f39	gpu_temp_abort	90
TOPc3f05f39	gpu_temp_retain	75
TOPc3f05f39	hash_mode	0
TOPc3f05f39	hex_charset	0
TOPc3f05f39	hex_salt	0
TOPc3f05f39	hex_wordlist	0
TOPc3f05f39	increment	0
TOPc3f05f39	increment_max	54
TOPc3f05f39	increment_min	1
TOPc3f05f39	keyspace	0
TOPc3f05f39	left	0
TOPc3f05f39	logfile_disable	0
TOPc3f05f39	loopback	0
TOPc3f05f39	markov_classic	0
TOPc3f05f39	markov_disable	0
TOPc3f05f39	markov_threshold	0
TOPc3f05f39	outfile_autohex	1
TOPc3f05f39	outfile_check_timer	5
TOPc3f05f39	outfile_format	3
TOPc3f05f39	potfile_disable	0
TOPc3f05f39	powertune_enable	0
TOPc3f05f39	scrypt_tmto	0
TOPc3f05f39	quiet	0
TOPc3f05f39	remove	0
TOPc3f05f39	remove_timer	60
TOPc3f05f39	restore	0
TOPc3f05f39	restore_disable	0
TOPc3f05f39	restore_timer	60
TOPc3f05f39	rp_gen	0
TOPc3f05f39	rp_gen_func_max	4
TOPc3f05f39	rp_gen_func_min	1
